Emotion,precision,recall,f1-score,support
angry,0.45098039215686275,0.575,0.5054945054945055,40.0
calm,0.6666666666666666,0.55,0.6027397260273972,40.0
disgust,0.49230769230769234,0.8,0.6095238095238096,40.0
fearful,0.6285714285714286,0.55,0.5866666666666667,40.0
happy,0.4117647058823529,0.175,0.24561403508771928,40.0
neutral,0.2777777777777778,0.25,0.2631578947368421,20.0
sad,0.22727272727272727,0.125,0.16129032258064516,40.0
surprised,0.576271186440678,0.85,0.6868686868686869,40.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.46645157213452326,0.484375,0.45766945587328406,300.0
weighted avg,0.4790298250916396,0.5,0.4706368932823801,300.0
